problem,M,run,stage,ratio,sol_id,conf,catalog,truth_conv,truth_hyb,correct_conv,correct_hyb
DTLZ1,10,1,2,0.5,29,0.00187318727675234,1,0,0,0,0
DTLZ1,10,1,2,0.5,30,0.998675838458127,0,0,1,1,0
DTLZ1,10,1,2,0.5,31,0.00140974166009544,0,1,1,0,0
DTLZ1,10,1,2,0.5,32,0.00129723689459516,0,0,0,1,1
DTLZ1,10,1,2,0.5,33,0.00166256563586142,1,0,0,0,0
DTLZ1,10,1,2,0.5,34,0.00109973224510973,0,0,1,1,0
DTLZ1,10,1,2,0.5,35,0.00144981265423738,0,0,0,1,1
DTLZ1,10,1,2,0.5,36,0.00161757314589783,0,1,1,0,0
DTLZ1,10,1,2,0.5,37,0.00199821867146166,1,0,0,0,0
DTLZ1,10,1,2,0.5,38,0.99856811848611,0,0,0,1,1
DTLZ1,10,1,2,0.5,39,0.0019892903828882,1,0,0,0,0
DTLZ1,10,1,2,0.5,40,0.00156982901516434,0,0,0,1,1
DTLZ1,10,1,2,0.5,41,0.00170817467336404,1,1,1,1,1
DTLZ1,10,1,2,0.5,42,0.0019798184132277,1,1,1,1,1
DTLZ1,10,1,2,0.5,43,0.998634778193407,0,0,0,1,1
DTLZ1,10,1,2,0.5,44,0.00232904054489058,1,1,0,1,0
DTLZ1,10,1,2,0.5,45,0.0013363410557794,0,0,0,1,1
DTLZ1,10,1,2,0.5,46,0.998463760900754,0,1,0,0,1
DTLZ1,10,1,2,0.5,47,0.99808961797479,0,0,0,1,1
DTLZ1,10,1,2,0.5,48,0.00157223250593075,0,1,0,0,1
DTLZ1,10,1,2,0.5,49,0.00137678851096523,0,1,1,0,0
DTLZ1,10,1,2,0.5,50,0.00186661604814675,1,0,0,0,0
DTLZ1,10,1,2,0.5,51,0.998143724745989,0,0,0,1,1
DTLZ1,10,1,2,0.5,52,0.998742341913801,0,0,0,1,1
DTLZ1,10,1,2,0.5,53,0.00230421601719866,1,1,0,1,0
DTLZ1,10,1,2,0.5,54,0.00162220948278491,1,0,1,0,1
DTLZ1,10,1,2,0.5,55,0.00118770954098446,0,0,0,1,1
DTLZ1,10,1,2,0.5,56,0.00110546122147892,0,0,0,1,1
DTLZ1,10,1,2,0.5,57,0.997511303711717,0,1,0,0,1
DTLZ1,10,1,2,0.5,58,0.998743527504703,0,0,1,1,0
DTLZ1,10,1,2,0.5,59,0.998688928023399,0,0,0,1,1
DTLZ1,10,1,2,0.5,60,0.00146599490493837,0,1,0,0,1
DTLZ1,10,1,2,0.5,61,0.00290167795378582,1,0,0,0,0
DTLZ1,10,1,2,0.5,62,0.998938454940505,0,0,0,1,1
DTLZ1,10,1,2,0.5,63,0.998785053268909,0,0,1,1,0
DTLZ1,10,1,2,0.5,64,0.00150741982600644,0,0,0,1,1
DTLZ1,10,1,2,0.5,65,0.00137153292759473,0,0,0,1,1
DTLZ1,10,1,2,0.5,66,0.998315388320907,0,0,0,1,1
DTLZ1,10,1,2,0.5,67,0.0020916786025803,1,0,0,0,0
DTLZ1,10,1,2,0.5,68,0.0016700105260421,1,1,0,1,0
DTLZ1,10,1,2,0.5,69,0.00177515595703859,1,0,0,0,0
DTLZ1,10,1,2,0.5,70,0.00158770785850693,0,0,0,1,1
DTLZ1,10,1,2,0.5,71,0.998908997390565,0,0,0,1,1
DTLZ1,10,1,2,0.5,72,0.998744660545504,0,0,0,1,1
DTLZ1,10,1,2,0.5,73,0.998275586475688,0,0,0,1,1
DTLZ1,10,1,2,0.5,74,0.00166056921037749,1,0,0,0,0
DTLZ1,10,1,2,0.5,75,0.998757243896504,0,0,0,1,1
DTLZ1,10,1,2,0.5,76,0.998603541774465,0,0,0,1,1
DTLZ1,10,1,2,0.5,77,0.00284596370770562,1,1,0,1,0
DTLZ1,10,1,2,0.5,78,0.00136031499666378,0,0,0,1,1
DTLZ1,10,1,2,0.5,79,0.00172435539219584,1,1,1,1,1
DTLZ1,10,1,2,0.5,80,0.00259855597887537,1,0,0,0,0
DTLZ1,10,1,2,0.5,81,0.00135776024048284,0,0,0,1,1
DTLZ1,10,1,2,0.5,82,0.998886308556296,0,0,0,1,1
DTLZ1,10,1,2,0.5,83,0.998807429778739,0,0,1,1,0
DTLZ1,10,1,2,0.5,84,0.00141949846466616,0,0,0,1,1
DTLZ1,10,1,2,0.5,85,0.998248679470911,0,0,0,1,1
DTLZ1,10,1,2,0.5,86,0.998677488330558,0,0,0,1,1
DTLZ1,10,1,2,0.5,87,0.997944389591813,0,0,0,1,1
DTLZ1,10,1,2,0.5,88,0.00155772477548222,0,0,0,1,1
DTLZ1,10,1,2,0.5,89,0.998857906077835,0,0,0,1,1
DTLZ1,10,1,2,0.5,90,0.00151009755320208,0,1,0,0,1
DTLZ1,10,1,2,0.5,91,0.00203433104577799,1,0,0,0,0
DTLZ1,10,1,2,0.5,92,0.00135494471082698,0,0,1,1,0
DTLZ1,10,1,2,0.5,93,0.00123858861811887,0,0,1,1,0
DTLZ1,10,1,2,0.5,94,0.998966869095073,0,0,0,1,1
DTLZ1,10,1,2,0.5,95,0.998194463988867,0,0,0,1,1
DTLZ1,10,1,2,0.5,96,0.998484921019422,0,0,0,1,1
DTLZ1,10,1,2,0.5,97,0.998774447569857,0,0,1,1,0
DTLZ1,10,1,2,0.5,98,0.00174618254494618,1,0,0,0,0
DTLZ1,10,1,2,0.5,99,0.99871586180007,0,0,0,1,1
DTLZ1,10,1,2,0.5,100,0.998708305308989,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,1,0.998529878281766,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,2,0.998244864313802,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,3,0.998107823746905,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,4,0.998307553574881,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,5,0.998209603523087,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,6,0.997552957373468,0,1,0,0,1
DTLZ1,10,1,3,0.666666666666667,7,0.997716214678092,0,1,0,0,1
DTLZ1,10,1,3,0.666666666666667,8,0.99864529562543,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,9,0.998125682948262,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,10,0.00141041476103909,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,11,0.00198049986577475,1,0,1,0,1
DTLZ1,10,1,3,0.666666666666667,12,0.997510052173149,0,1,0,0,1
DTLZ1,10,1,3,0.666666666666667,13,0.00290345408276138,1,1,0,1,0
DTLZ1,10,1,3,0.666666666666667,14,0.00121544740459412,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,15,0.998602942731654,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,16,0.0028476785207141,1,1,0,1,0
DTLZ1,10,1,3,0.666666666666667,17,0.998247913650195,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,18,0.998644968022354,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,19,0.99876148647663,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,20,0.00278266249848569,1,1,0,1,0
DTLZ1,10,1,3,0.666666666666667,21,0.998523587270742,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,22,0.998128693259197,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,23,0.00153466885456199,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,24,0.998328917044617,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,25,0.997683792639551,0,1,0,0,1
DTLZ1,10,1,3,0.666666666666667,26,0.998258206685134,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,27,0.998057811834269,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,28,0.998549995317303,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,29,0.998118002208632,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,30,0.998541537620419,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,31,0.998106585995584,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,32,0.998281102882902,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,33,0.00201892087201017,1,0,0,0,0
DTLZ1,10,1,3,0.666666666666667,34,0.998163700745801,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,35,0.00269927070676912,1,0,0,0,0
DTLZ1,10,1,3,0.666666666666667,36,0.997946736132283,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,37,0.998515796277051,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,38,0.997681702188305,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,39,0.997845688052387,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,40,0.998496998129475,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,41,0.998234501288132,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,42,0.998191621958003,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,43,0.997873475546731,0,1,0,0,1
DTLZ1,10,1,3,0.666666666666667,44,0.998263934611557,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,45,0.00264912651770721,1,0,0,0,0
DTLZ1,10,1,3,0.666666666666667,46,0.00245268651081165,1,0,0,0,0
DTLZ1,10,1,3,0.666666666666667,47,0.998305003818914,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,48,0.998253312890926,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,49,0.998820584880915,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,50,0.998465971721191,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,51,0.00245635638990305,1,1,1,1,1
DTLZ1,10,1,3,0.666666666666667,52,0.00189437872693732,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,53,0.00251862061986463,1,1,0,1,0
DTLZ1,10,1,3,0.666666666666667,54,0.99848614092681,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,55,0.0024949326823821,1,1,0,1,0
DTLZ1,10,1,3,0.666666666666667,56,0.0017832107945166,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,57,0.998406371979395,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,58,0.00213799165621942,1,0,0,0,0
DTLZ1,10,1,3,0.666666666666667,59,0.00233153328621816,1,1,0,1,0
DTLZ1,10,1,3,0.666666666666667,60,0.998022234460638,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,61,0.0019613117765499,1,1,1,1,1
DTLZ1,10,1,3,0.666666666666667,62,0.998280898199219,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,63,0.997974768345843,0,1,1,0,0
DTLZ1,10,1,3,0.666666666666667,64,0.998124060230104,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,65,0.998208584348398,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,66,0.00244156810576091,1,1,1,1,1
DTLZ1,10,1,3,0.666666666666667,67,0.997495177343841,0,1,0,0,1
DTLZ1,10,1,3,0.666666666666667,68,0.998046737169914,0,1,1,0,0
DTLZ1,10,1,3,0.666666666666667,69,0.00195968881737307,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,70,0.997559845660545,0,1,0,0,1
DTLZ1,10,1,3,0.666666666666667,71,0.00182560219796746,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,72,0.998355441661361,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,73,0.00264639323371618,1,1,0,1,0
DTLZ1,10,1,3,0.666666666666667,74,0.998290888657292,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,75,0.0020263749137599,1,0,0,0,0
DTLZ1,10,1,3,0.666666666666667,76,0.00150532500073153,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,77,0.998226677082485,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,78,0.997574255743345,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,79,0.997739527742189,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,80,0.00209633861139824,1,1,0,1,0
DTLZ1,10,1,3,0.666666666666667,81,0.997595011794956,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,82,0.00152884179043256,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,83,0.00316765686319498,1,0,0,0,0
DTLZ1,10,1,3,0.666666666666667,84,0.998532621479745,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,85,0.998323625026641,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,86,0.00225208487960726,1,1,0,1,0
DTLZ1,10,1,3,0.666666666666667,87,0.998892987672567,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,88,0.997990064460928,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,89,0.00144439040031308,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,90,0.00307390389699325,1,1,0,1,0
DTLZ1,10,1,3,0.666666666666667,91,0.997237988038784,0,1,0,0,1
DTLZ1,10,1,3,0.666666666666667,92,0.00153380017868476,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,93,0.997971972811961,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,94,0.00167116034844161,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,95,0.997835326747344,0,0,0,1,1
DTLZ1,10,1,3,0.666666666666667,96,0.00205699069816023,1,0,0,0,0
DTLZ1,10,1,3,0.666666666666667,97,0.00244298045711877,1,1,0,1,0
DTLZ1,10,1,3,0.666666666666667,98,0.998519091625651,0,0,1,1,0
DTLZ1,10,1,3,0.666666666666667,99,0.00277171277539423,1,0,0,0,0
DTLZ1,10,1,3,0.666666666666667,100,0.0027432804034162,1,1,1,1,1
DTLZ1,10,1,4,0.833333333333333,1,0.00289982023739066,1,0,0,0,0
DTLZ1,10,1,4,0.833333333333333,2,0.998254785476638,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,3,0.998089621912631,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,4,0.0019574854405322,0,0,1,1,0
DTLZ1,10,1,4,0.833333333333333,5,0.997948176236135,0,0,1,1,0
DTLZ1,10,1,4,0.833333333333333,6,0.997524008034953,0,1,1,0,0
DTLZ1,10,1,4,0.833333333333333,7,0.997892871042613,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,8,0.998446871453624,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,9,0.00326042898876588,1,0,0,0,0
DTLZ1,10,1,4,0.833333333333333,10,0.997713835180924,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,11,0.00312916062845059,1,0,0,0,0
DTLZ1,10,1,4,0.833333333333333,12,0.998331896154875,0,0,1,1,0
DTLZ1,10,1,4,0.833333333333333,13,0.00281514378899117,1,0,0,0,0
DTLZ1,10,1,4,0.833333333333333,14,0.997247993193571,0,1,0,0,1
DTLZ1,10,1,4,0.833333333333333,15,0.997563860958652,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,16,0.00320005480208063,1,1,1,1,1
DTLZ1,10,1,4,0.833333333333333,17,0.997826519621458,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,18,0.00287299728939538,1,0,0,0,0
DTLZ1,10,1,4,0.833333333333333,19,0.997764893374805,0,1,1,0,0
DTLZ1,10,1,4,0.833333333333333,20,0.0020701084549678,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,21,0.997940486565573,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,22,0.00202338949515912,0,0,1,1,0
DTLZ1,10,1,4,0.833333333333333,23,0.00203461850862119,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,24,0.995974883077601,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,25,0.99883807973216,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,26,0.0020591243009096,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,27,0.997974722508019,0,0,1,1,0
DTLZ1,10,1,4,0.833333333333333,28,0.00197916245912955,0,0,1,1,0
DTLZ1,10,1,4,0.833333333333333,29,0.997773950818217,0,0,1,1,0
DTLZ1,10,1,4,0.833333333333333,30,0.998358217685549,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,31,0.998533823317003,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,32,0.997059825741393,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,33,0.00354847855912799,1,1,0,1,0
DTLZ1,10,1,4,0.833333333333333,34,0.997936650470617,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,35,0.997374732889527,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,36,0.00430450257711046,1,0,0,0,0
DTLZ1,10,1,4,0.833333333333333,37,0.99669032465038,0,1,0,0,1
DTLZ1,10,1,4,0.833333333333333,38,0.997777733633875,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,39,0.00527879136194698,1,1,1,1,1
DTLZ1,10,1,4,0.833333333333333,40,0.997757233126955,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,41,0.00219835815910563,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,42,0.00410514703633702,1,1,0,1,0
DTLZ1,10,1,4,0.833333333333333,43,0.99781122051869,0,0,0,1,1
DTLZ1,10,1,4,0.833333333333333,44,0.00335808150971029,1,0,0,0,0
